category,feature,official_source,implemented,status,repo_reference,notes
layout_keyword,across,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/03-styles-aliases.art:758; src/vista/modules/04-layout-core.art,Supported keyword and layout behavior
layout_keyword,below,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/03-styles-aliases.art:758; src/vista/modules/04-layout-core.art,Supported keyword and layout behavior
layout_keyword,return,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/03-styles-aliases.art:758; src/vista/modules/04-layout-core.art,Supported keyword and layout behavior
layout_keyword,end,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/03-styles-aliases.art:758; src/vista/modules/04-layout-core.art,Supported keyword
layout_keyword,pad,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/03-styles-aliases.art:758; src/vista/modules/04-layout-core.art,Supported keyword
layout_keyword,space,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/03-styles-aliases.art:758; src/vista/modules/04-layout-core.art,Supported keyword
layout_keyword,align,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/03-styles-aliases.art:758; src/vista/modules/04-layout-core.art,Supported keyword
layout_keyword,valign,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/03-styles-aliases.art:758; src/vista/modules/04-layout-core.art,Supported keyword
layout_keyword,size,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/03-styles-aliases.art:758; src/vista/modules/04-layout-core.art,Supported keyword
layout_keyword,origin,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/03-styles-aliases.art:758; src/vista/modules/04-layout-core.art,Supported keyword
layout_keyword,offset,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/03-styles-aliases.art:758; src/vista/modules/04-layout-core.art,Supported keyword
layout_keyword,at,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/03-styles-aliases.art:758,Keyword recognized
layout_keyword,indent,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/03-styles-aliases.art:758; src/vista/modules/04-layout-core.art,Supported keyword
layout_keyword,guide,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/03-styles-aliases.art:758; src/vista/modules/04-layout-core.art,Supported keyword
layout_keyword,do,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/03-styles-aliases.art:758; src/vista/modules/04-layout-core.art,Executed during layout build
layout_keyword,style,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/03-styles-aliases.art:758; src/vista/modules/03-styles-aliases.art,Supported
layout_keyword,styles,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/03-styles-aliases.art:758; src/vista/modules/03-styles-aliases.art,Supported
layout_keyword,stylize,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/03-styles-aliases.art:758; src/vista/modules/03-styles-aliases.art,Supported
layout_keyword,tabs_keyword,https://www.rebol.com/docs/view-guide.html,yes,partial,src/vista/modules/04-layout-core.art,Implemented as tabs widget behavior not classic tab-stop layout keyword semantics
layout_keyword,tab_keyword,https://www.rebol.com/docs/view-guide.html,yes,partial,src/vista/modules/04-layout-core.art,Implemented as tab panel item not classic tab-stop keyword
layout_keyword,backcolor,https://www.rebol.com/docs/view-guide.html,yes,partial,src/vista/modules/03-styles-aliases.art:758,Recognized and mapped but not full native face parity
widget,text,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/01-faces.art,Supported
widget,label,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/01-faces.art,Supported
widget,button,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/01-faces.art,Supported
widget,field,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/01-faces.art,Supported
widget,info,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/01-faces.art,Supported
widget,area_textarea,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/01-faces.art,Supported via textarea and area alias
widget,check_checkbox,https://www.rebol.com/docs/view-guide.html,yes,yes,src/vista/modules/01-faces.art,Supported via checkbox and check alias
